Cartridge (Wb + type),MV (fps),V @ 200 yds,ME (ft lb),E @ 200 yds,Bullet Weight (grains),Bullet Weight (grams),Bullet Type,MV (mps)
.17 Rem. (25 SpHP),4040,2644.0,906,388.0,25.0,1.61997275,SpHP,1231.392
.204 Ruger (32 BTSP),4225,3025.0,1308,671.0,32.0,2.07356512,BTSP,1287.78
.218 Bee (46 HP),2760,1550.0,778,245.0,46.0,2.98074986,HP,841.248
.219 Zipper (55 SP),3400,2575.0,1412,810.0,55.0,3.5639400500000002,SP,1036.3200000000002
.22 Hornet (45 Sp),2690,1502.0,723,225.0,45.0,2.91595095,Sp,819.912
.221 Fireball (50 SpBT),2995,2247.0,996,560.0,50.0,3.2399455,SpBT,912.8760000000001
.22 PPC (52 HPBT),3400,2613.0,1342,795.0,52.0,3.36954332,HPBT,1036.3200000000002
.222 Rem. (50 Sp),3140,2123.0,1094,500.0,50.0,3.2399455,Sp,957.072
.223 Rem. (45 SpHP),3550,2430.0,1259,590.0,45.0,2.91595095,SpHP,1082.04
.223 Rem. (55 Sp),3240,2304.0,1282,648.0,55.0,3.5639400500000002,Sp,987.552
.223 Rem. (64 Sp),3090,2312.0,1357,760.0,64.0,4.14713024,Sp,941.832
5.6x50 Mag. (50 SP),3600,2663.0,1439,787.0,50.0,3.2399455,SP,1097.28
5.6x50R Mag. (55 SP),3300,2492.0,1330,759.0,55.0,3.5639400500000002,SP,1005.84
.225 Win. (55 Sp),3570,2616.0,1556,836.0,55.0,3.5639400500000002,Sp,1088.136
.22-250 Rem. (55 Sp),3680,2656.0,1654,861.0,55.0,3.5639400500000002,Sp,1121.664
.22-250 Rem. (60 Sp),3500,2634.0,1632,924.0,60.0,3.8879346,Sp,1066.8
.224 Wby. Mag. (55 Sp),3650,2780.0,1627,944.0,55.0,3.5639400500000002,Sp,1112.52
.220 Swift (55 SpBT),3800,2990.0,1765,1090.0,55.0,3.5639400500000002,SpBT,1158.24
.223 WSSM (55 SpBT),3850,3064.0,1810,1147.0,55.0,3.5639400500000002,SpBT,1173.48
5.6x57 RWS (60 Sp),3600,2828.0,1726,1066.0,60.0,3.8879346,Sp,1097.28
6mm BR Rem. (100 Sp),2550,,1444,,100.0,6.479891,Sp,777.24
